Main Artist,Genres,Followers,Random Song,Lyrics
taylor swift,pop,203417284,I Can Do It With a Broken Heart,"I can read your mind""She's having the time of her life""There in her glittering primeThe lights refract sequin stars off her silhouette every nightI can show you lies'Cause I'm a real tough kidI can handle my shitThey said, ""Babe, you gotta fake it 'til you make it"" and I didLights, camera, bitch, smileEven when you wanna dieHe said he'd love me all his lifeBut that life was too shortBreaking down, I hit the floorAll the piеces of me shatterеd as the crowd was chanting,""More""I was grinnin' like I'm winnin'I was hittin' my marks'Cause I can do it with a broken heartI'm so depressed, I act like it's my birthday every dayI'm so obsessed with him, but he avoids me like the plagueI cry a lot, but I am so productive, it's an artYou know you're good when you can even do it with a broken heart"
billie eilish,pop,183381156,hotline (edit),"You used to call me on my cell phoneLate night when you need my loveCall me on my cell phoneLate night when you need my loveI know when that hotline blingThat could only mean one thingI know when that hotline blingThat could only mean one thing'Cause ever since I left the city, youGot a reputation for yourself nowEverybody knows and I feel left outGirl, you got me down, you got me stressed out'Cause ever since I left the city, youStarted wearing less and goin' out moreGlasses of champagne out on the dance floorHangin' with some girls I've never seen before'Cause ever since I left the city"
drake,pop,169931433,Jimmy Cooks (feat. 21 Savage),"Just awaken shaken once again, so you know it's onJust awaken shaken once again, ho, you know it's onJust awaken shaken once again, so you know it's onJust awaken shaken once again, ho, you know it's onYeah, lifeLife is the only thing we needThey need me to go, but I don't wanna leaveRest in peace to Lil KeedFuck a pigeonhole, I'm a night owl, this a different modeI might have to make her paint a 6 on her pinky toeHeard you with a shooting guard, just let a nigga knowI would have you courtside, not the middle rowAll good, love, in a minute, thoughI can't strеss about no bitch 'cause I'm a timid soulPlus I'm cookin' up ambition on a kitchen stovePot start to bubblе, see the suds, that shit good to goHoes say I'm suave, but I can't get RICO'dBro think he John Wayne, I bought him yellow stonesLove the way they hang, babe, fuck the siliconeEverybody fake now, you could crack the codeBustdown everything, set in rose goldDread talkin' to you niggas like I'm J. ColeI can tell her head good before I even knowBitch, don't tell me that you model if you ain't been inVogueGotta throw a party for my day onesThey ain't in the studio, but they'll lay somethin'Rest in peace to Drama King, we was straight stuntin'You don't like the way I talk? Nigga, say somethin'Gotta throw a party for my day onesPull up and you know it's us, the bass jumpin'You don't like the way I talk? Then say somethin'Get out my face, nigga"
ed sheeran,pop,115998928,Shivers,"I took an arrow to the heartI never kissed a mouth that tastes like yoursStrawberries and then somethin' moreOoh, yeah, I want it allLipstick on my guitarFill up the engine, we can drive real farGo dancin' underneath the starsOoh, yeah, I want it allMmm, you got me feelin' likeI wanna be that guy, I wanna kiss your eyesI wanna drink that smile, I wanna feel like I'mLike my soul's on fire, I wanna stay up all day and all nightYeah, you got me singin' likeOoh, I love it when you do it like thatAnd when you're close up, give mе the shiversOh, baby, you wanna dance 'til thе sunlight cracksAnd when they say the party's over, then we'll bring it right backAnd we'll say, ""Ooh, I love it when you do it like that""And when you're close up, give me the shiversOh, baby, you wanna dance 'til the sunlight cracksAnd when they say the party's over, then we'll bring it right back"
adele,pop,108031896,Rolling in the Deep,"There's a fire starting in my heartReaching a fever pitch and it's bringing me out the darkFinally, I can see you crystal clearGo ahead and sell me out and I'll lay your shit bareSee how I'll leave with every piece of youDon't underestimate the things that I will doThere's a fire starting in my heartReaching a fever pitch, and it's bringing me out the darkThe scars of your love remind me of usThey keep me thinkin' that we almost had it allThe scars of your love, they leave me breathlessI can't help feelingWe could've had it allRolling in the deep You had my heart inside of your handAnd you played it to the beatBaby, I have no story to be toldBut I've heard one on you, now I'm gonna make your head burnThink of me in the depths of your despairMake a home down there, as mine sure won't be shared"
bruno mars,pop,107497084,When I Was Your Man,"Same bed, but it feels just a little bit bigger nowOur song on the radio, but it don't sound the sameWhen our friends talk about you, all it does is just tear me down'Cause my heart breaks a little when I hear your nameIt all just sounds like Mm, too young, too dumb to realizeThat I should've bought you flowersAnd held your handShoulda gave you all my hoursWhen I had the chanceTake you to every party'Cause all you wanted to do was danceNow my baby's dancin'But she's dancin' with another manUh, my pride, my ego, my needs, and my selfish waysCaused a good, strong woman like you to walk out my lifeNow I'll never, never get to clean up the mess I made, ohAnd that haunts me every time I close my eyes"
imagine dragons,pop,103641904,Eyes Closed,"I can do this with my eyes closedI'm back from the dead, from the back of my headBeen gone and facin' horrors that should never be saidThe wrath and the grit from the pit of despairBeen takin' every whip and word, I've never been sparedThey say tomorrow's never promised, honestThey say that angels are among usLock me up in a maze Turn out, turn out the lights I was born, I was raised for this Turn out, turn out the lights Lock me up inside a cageJust throw away the key, don't worry 'bout meI was drivin' in my car, throwin' up my hands, put it in coastI can do this with my eyes closedTurn out, turn out the lightsI can do this with my eyes closedTurn out, turn out the lightsI can do this with my eyes closed"
ariana grande,pop,95710972,Die For You (with Ariana Grande) - Remix,"I'm findin' ways to articulate the feelin' I'm goin' throughI just can't say I don't love you 'Cause I love you, yeahIt's hard for me to communicate the thoughts that I holdBut tonight, I'm gon' let you knowLet me tell the truthBaby, let me tell the truth, yeahYou know what I'm thinkin', see it in your eyesYou hate that you want me, hate it when you cryYou're scared to be lonely, 'specially in the nightI'm scared that I'll miss you, happens every timeI don't want this feelin', I can't afford loveI try to find a reason to pull us apartIt ain't workin' 'cause you're perfеctAnd I know that you're worth itI can't walk away, ohEven though we'rе goin' through it And it makes you feel aloneJust know that I would die for you Baby, I would die for you,yeahThe distance and the time between us It'll never change my mind 'causeBaby, I would die for you Baby, I would die for you,yeah"
post malone,pop,86662935,Congratulations,"Yeah, yeahYeah My mama called, seen you on TV, sonSaid shit done changed ever since we was onI dreamed it all ever since I was youngThey said I wouldn't be nothingNow they always say, ""Congratulations"" Worked so hard, forgot how to vacation They ain't never had the dedication People hatin', say we changed and look, we made it Yeah, we made it They was never friendly, yeahNow I'm jumping out the Bentley, yeahAnd I know I sound dramatic, yeahBut I know I had to have it, yeahFor the money, I'm a savage, yeahI be itching like an addict, yeahI'm surround by twenty bad bitch, yeahBut they didn't know me last year, yeahEveryone wanna act like they importantBut all that mean nothing when I saw my dough, yeah Everyone countin' on me drop the ball, yeah Everything custom like I'm at the border, yeah, yeahIf you fuck with winning, put your lighters to the skyHow could I make cents when I got millions on my mind?Coming with that bullshit, I just put it to the sideBalling since a baby, they could see it in my eyes"
the weeknd,pop,75945958,Young Metro,"Yeah, yeahYoung Metro, Young Metro, Young MetroYeah, yeahYoung Metro, Young Metro, Young MetroYeah , yeah , yeah , yeah Yeah , yeah Okay, okay, okayEvel Knievel, Pluto told his heaters, ""Leave nigga in the freezer,""I'm big as a BeatleFuck on a diva, I’m hot than a fever Put dope on one leadersmore stripes than AdidasI got these regular hoes, I got superstar hoes takin' pictures of me like the fedsCheck out my video, lil' bitch, that’s silly, hoGot me with a mill' in jewelry, in the bed Grip the forty while I'm sleep in my hand Drink the dope and I get cool as a fan Turbo motor hot, I'm scorchin' in France Bitch, you bogus if you don't bring a friend Came from nothin', you can't feel what I’m sayin’ Hundred shots, I gotta stick to the plan Sloppy toppy gotta get it againShorty boppin', she just pushin’ the brandSolo, but the hitters pullin' up on demandChauffer with the Phantom, I'm like Stunna when I landI ain't never sober, I got pills and I’m sharin'Cop a new hammer with the cooler, it don't jamTook the show on the road gettin' bands on bandsOn the high, on the low, I'm the man, I'm the man Strikin' off, strikin' off, Porsche Cayenne Live it up, ran it up, got it expand"
